epoch,train_loss,train_miou,val_loss,val_miou,road_iou,sidewalk_iou,building_iou,wall_iou,fence_iou,pole_iou,traffic_light_iou,traffic_sign_iou,vegetation_iou,terrain_iou,sky_iou,person_iou,rider_iou,car_iou,truck_iou,bus_iou,train_cls_iou,motorcycle_iou,bicycle_iou
1,0.7742,0.1065,0.6295,0.1586,0.7205,0.0014,0.7352,0.0000,0.0000,0.0002,0.0005,0.0000,0.7800,0.0001,0.7763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.5719,0.1891,0.5126,0.2157,0.8662,0.1305,0.8005,0.0000,0.0000,0.0000,0.0000,0.0000,0.8234,0.0000,0.8180,0.0000,0.0000,0.6601,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.4639,0.2541,0.4421,0.2491,0.9410,0.4787,0.7817,0.0000,0.0000,0.0004,0.0000,0.0000,0.8494,0.0033,0.8493,0.0000,0.0000,0.8230,0.0000,0.0000,0.0000,0.0000,0.0063
4,0.4088,0.2906,0.4258,0.2784,0.9374,0.6016,0.8043,0.0000,0.0000,0.0083,0.0000,0.1020,0.8513,0.3209,0.8675,0.0000,0.0000,0.7915,0.0000,0.0000,0.0000,0.0003,0.0039
5,0.3729,0.3216,0.3886,0.3215,0.9534,0.6502,0.8318,0.0000,0.0000,0.1707,0.0000,0.5205,0.8603,0.3653,0.8294,0.0000,0.0000,0.8615,0.0000,0.0000,0.0000,0.0000,0.0645
6,0.3436,0.3744,0.3597,0.3758,0.9560,0.6828,0.8460,0.0000,0.0000,0.3432,0.0000,0.5667,0.8731,0.3925,0.9052,0.3107,0.0000,0.8623,0.0000,0.0000,0.0000,0.0000,0.4023
7,0.3193,0.4118,0.3454,0.3999,0.9546,0.6831,0.8325,0.0000,0.0097,0.3883,0.0005,0.6001,0.8795,0.4799,0.8922,0.4467,0.0000,0.8705,0.0000,0.0000,0.0000,0.0000,0.5597
8,0.3029,0.4472,0.3363,0.4190,0.9562,0.6955,0.8508,0.0000,0.1476,0.3984,0.0941,0.6080,0.8836,0.4887,0.8626,0.5576,0.0000,0.8736,0.0000,0.0000,0.0000,0.0000,0.5439
9,0.2880,0.4813,0.3406,0.4242,0.9265,0.5394,0.8437,0.0311,0.1136,0.4167,0.2887,0.5988,0.8880,0.4678,0.9140,0.5547,0.0000,0.8657,0.0000,0.0000,0.0000,0.0000,0.6114
10,0.2749,0.5081,0.3178,0.4642,0.9528,0.6824,0.8653,0.1229,0.2115,0.4502,0.3602,0.6213,0.8859,0.4698,0.9033,0.6219,0.1956,0.8482,0.0000,0.0000,0.0000,0.0000,0.6286
